Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,cluster_id,cluster_label,style_description
Babushka Boi,A$AP Rocky,1.4949894459886581,0.6278025007256789,0.03534399544068322,1.0448257296389196,0.3092636244113917,-0.1513962023033052,1.753729344458288,7,C7,Danceability / Loudness / Valence
CANGURO,WOS,-0.6498452392943267,0.6774623192269902,0.4093799904127835,2.0646562995133166,-0.2428407326966004,-0.1513962023033052,1.8819769060577731,3,C3,Danceability / Speechiness / Valence
Doin' Time,Lana Del Rey,-0.3662908232738641,-0.5143733248044804,-1.9194066179888778,-0.7617312798528693,0.7307173321274163,-0.08836912430323778,0.06439939511334596,4,C4,Acousticness
Mood Swings,A Boogie Wit da Hoodie,1.8148969922681537,0.21190152077719715,1.905682110519647,-0.1983962983984405,-0.08268832376451106,-0.1513962023033052,1.8642875872164648,7,C7,Danceability / Loudness / Valence
Soltera (Remix),"Luy, Daddy Yankee, Bad Bunny",0.7533855887043721,0.7022922284776458,0.2615532644587365,-0.6743172310064924,0.4061979771860774,-0.1513962023033052,1.3601420002391782,7,C7,Danceability / Loudness / Valence
Bellacoso,"Residente, Bad Bunny",0.6007024416164307,1.2982100504933811,0.9467129501015636,1.3653439087423014,-0.6980107370299068,-0.1513962023033052,0.8250401052896023,3,C3,Danceability / Speechiness / Valence
Staring At The Sun (feat. SZA),Post Malone,0.23717113902609402,0.8078193427929324,0.39872271482074756,0.6757441900653283,0.07324954809041802,-0.1513962023033052,-0.7139306339042192,1,C1,Danceability
Huracan,"Samra, Capital Bra",-0.07546578120159472,0.3670884535937944,0.12266489867865517,3.1816135903281317,0.6632847388928523,-0.1513962023033052,0.04228774656171057,3,C3,Danceability / Speechiness / Valence
Sentou e Gostou,"MC JottaPê, MC M10, DJ RD",0.07721736588634588,0.18707161152654148,0.7703522282075494,2.7445433460962483,0.12803853009350125,-0.13563943280328836,0.9444430074684333,3,C3,Danceability / Speechiness / Valence
Mother,Charlie Puth,-2.0676173193966387,0.3422585443431387,-0.021723996439251197,2.2103463809239448,0.6084957568897691,-0.1513962023033052,0.5464333335389969,3,C3,Danceability / Speechiness / Valence
Somebody To Love,OneRepublic,-2.1112410757074787,-0.8619920543136598,-0.8715557791332144,-0.6840299031005344,-0.9045230538107587,-0.1513962023033052,-1.2048092317505241,0,C0,Loudness
I Warned Myself,Charlie Puth,-1.4786966092002936,-2.0538276983451307,-2.034573950999589,1.77327613669206,1.3966141903187352,-0.13563943280328836,0.31204985889166176,4,C4,Acousticness
Rebota - Remix,"Guaya, Nicky Jam, Farruko, Becky G, Sech",1.4077419333669774,1.3354549143693646,1.12410502124642,0.8699976319461656,-0.10797554622747256,-0.1513962023033052,1.3689866596598324,7,C7,Danceability / Loudness / Valence
Shots,Lil Tecca,1.0005868744658002,-0.37160134661321104,-0.05919635255318404,-0.703455247288618,1.2406763184638059,-0.1513962023033052,0.006909108879093949,7,C7,Danceability / Loudness / Valence
Won't Be Late (feat. Drake),Swae Lee,1.6258607149211795,-0.3343564827372275,-0.25893432413295453,-0.45092577284352925,-0.6263636067181826,-0.1513962023033052,-0.7935325686901062,1,C1,Danceability
Antisocial (with Travis Scott),Ed Sheeran,0.17900613061164014,1.1244006857387916,0.08106714556135357,-0.625753870536283,-0.4156367528601704,-0.1513962023033052,1.7758409930099233,7,C7,Danceability / Loudness / Valence
Psycho (feat. Ty Dolla $ign),Post Malone,0.4262074163730691,-0.5081658474918165,-0.874993609969355,-0.09155690536397991,1.3291815970841712,-0.1513962023033052,-0.21862970634758674,1,C1,Danceability
Paper Rings,Taylor Swift,0.8697156055332799,0.47882304522174485,-0.34522387812008426,-0.625753870536283,-0.9171666650422394,-0.1513962023033052,1.5768361560452049,7,C7,Danceability / Loudness / Valence
Show & Tell,Melanie Martinez,-1.1369771847653771,0.6464249326636706,-0.0327250551149012,1.559597350623139,0.3092636244113917,-0.1513962023033052,0.61719060890423,3,C3,Danceability / Speechiness / Valence
Wheels on the Bus,Melanie Martinez,0.12084112219718628,-0.14813216335731003,-0.2634035042199373,-0.7325932635707436,1.5230503026335422,-0.1513962023033052,0.24129258352642854,7,C7,Danceability / Loudness / Valence
Juice,Lizzo,0.5498080592537836,1.53409418837461,0.8803628149640496,-0.17897095421035675,-0.9466684245823612,-0.1513962023033052,1.4795449024180092,7,C7,Danceability / Loudness / Valence
Taste (feat. Offset),Tyga,1.2696000383826493,-0.1791695499206296,-0.2874683200729217,0.35522601096194634,-0.8497340718076756,-0.1513962023033052,-0.6608626773802943,1,C1,Danceability
Carry Me Away,John Mayer,-0.12636016356424187,0.42916322672043355,-0.3857902819865437,-0.8297199845111625,-0.9340248133508805,2.4169572261994423,1.032889601674975,7,C7,Danceability / Loudness / Valence
Circles,Post Malone,0.08448799193815261,0.7084997057903097,0.7363177029297572,-0.7423059356647854,-0.03632841591574833,-0.10412589380325464,0.12188968134759795,5,C5,Danceability / Loudness / Valence
Cornelia Street,Taylor Swift,0.9642337442067666,-0.11088729948132653,-1.4367351685947336,-0.3052356914329011,2.3195978102168286,-0.1513962023033052,-1.1517412752265992,4,C4,Acousticness
Fuck it I love you,Lana Del Rey,-1.1442478108171839,-1.1785733972595192,-1.7818933845432525,-0.7617312798528693,2.8000550370130965,-0.11988266330327149,-1.4745713440804757,4,C4,Acousticness
Hollywood's Bleeding,Post Malone,-2.0894291975520582,0.01946972408461572,0.8002613564819729,-0.6451792147243668,0.42305612549471844,-0.1513962023033052,-1.5497509491560357,0,C0,Loudness
I Think He Knows,Taylor Swift,1.4949894459886581,-1.7124164461486155,-0.8526477095344409,-0.5577651658779899,-0.9340248133508805,-0.1513962023033052,-0.40878988389165105,1,C1,Danceability
London Boy,Taylor Swift,0.026322983523698742,0.4229557494077696,-0.37478922331089365,-0.625753870536283,-0.8665922201163166,-0.1513962023033052,0.21475860526446658,1,C1,Danceability
Méchant,"Niska, Ninho",-1.166059688972604,1.0002511394855138,0.5568629332832165,2.181208364641819,0.39776890303175694,-0.1513962023033052,-0.4176345433123052,3,C3,Danceability / Speechiness / Valence
Miss America & The Heartbreak Prince,Taylor Swift,-0.21360767618592266,0.6526324099763345,-0.47345496830812966,-0.39264974027927807,-0.8539486088848358,-0.056855585303204066,-0.09480447445842882,1,C1,Danceability
Norman fucking Rockwell,Lana Del Rey,-3.46357752134353,-2.724235248112833,1.9032378127951513,-0.7714439519469112,3.107716243645794,0.7782531981976893,-1.616085894810942,4,C4,Acousticness
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,-1.4278022268376465,1.049910957986825,0.9969052803092168,-0.5577651658779899,-0.5420728651749778,-0.1513962023033052,-1.1826975831988888,0,C0,Loudness
The Archer,Taylor Swift,-2.903739315354412,-0.42126116511452233,-1.3153797400789693,-0.7228805914767017,-0.4662111977860933,-0.056855585303204066,-1.514372311473419,0,C0,Loudness
Cinmon Girl,Lana Del Rey,-2.8891980632507988,-1.8924332882158688,-1.7413269806767933,-0.7617312798528693,2.4586775337631166,6.371906370703673,-1.6514645324935584,6,C6,Acousticness / Instrumentalness
